"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","track.name","name"
0.465,0.784,2,-2.912,1,0.0327,0.0111,0,0.0851,0.245,98.981,262507,4,"Back to You","Gab"
0.705,0.403,0,-9.7,1,0.0438,0.172,0.00201,0.615,0.155,114.992,470093,4,"Tearing Me Up","Gab"
0.671,0.658,2,-5.567,1,0.309,0.189,8.66e-05,0.147,0.257,87.933,207307,4,"Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage]","Gab"
0.571,0.549,1,-7.38,0,0.404,0.18,0,0.168,0.447,119.497,194787,4,"Trance (with Travis Scott & Young Thug)","Gab"
0.847,0.916,1,-5.757,1,0.222,0.101,0.000766,0.118,0.751,104.018,139038,4,"OOGA BOOGA!","Gab"
0.639,0.938,2,-2.729,1,0.0433,0.0531,0,0.617,0.886,112.012,249427,4,"Save Me, San Francisco","Gab"
0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,216773,4,"Hey, Soul Sister","Gab"
0.458,0.831,0,-2.187,1,0.0654,0.0031,0,0.337,0.572,81.531,232213,4,"Shake Up Christmas","Gab"
0.45,0.476,1,-10.223,1,0.0341,0.76,0.507,0.108,0.372,127.063,98440,4,"Renaissance (Main Title Theme) - from ""The White Lotus: Season 2""","Gab"
0.819,0.856,10,-5.376,0,0.0486,0.0044,0.858,0.145,0.437,126.04,191429,4,"Stick-Up - Radio Edit","Gab"
0.638,0.882,1,-7.204,1,0.0346,0.0118,0.177,0.127,0.0479,124.978,192000,4,"Better Days","Gab"
0.797,0.746,2,-5.427,1,0.147,0.251,4.17e-05,0.334,0.402,124.843,156674,4,"Darkroom","Gab"
0.752,0.488,9,-8.936,1,0.0358,0.00255,0.041,0.0854,0.513,124.008,151010,4,"WATER. - Quarterhead Remix","Gab"
0.753,0.532,3,-7.601,0,0.0412,0.442,0.39,0.296,0.396,126.069,140000,4,"Can't Look Away","Gab"
0.647,0.897,7,-8.762,0,0.0606,0.125,0.579,0.123,0.0514,124.023,139415,4,"Into The Light","Gab"
0.725,0.859,6,-6.19,1,0.0542,0.0112,0.423,0.0831,0.4,125.969,154286,4,"Electricity","Gab"
0.891,0.62,8,-6.822,1,0.157,0.176,1.59e-06,0.103,0.535,82.035,143415,4,"HANDSOMER (Remix) (Feat. Ktlyn)","Gab"
0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,228013,3,"Something in the Orange","Gab"
0.866,0.654,2,-6.289,1,0.102,0.000487,0.00176,0.123,0.348,125.04,141220,4,"Last Night","Gab"
