"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track.name","name"
"82",0.527,0.209,7,-12.113,1,0.0283,0.72,0,0.116,0.362,62.663,"audio_features","45CFyww2OsnABfrBg6FzRY","spotify:track:45CFyww2OsnABfrBg6FzRY","https://api.spotify.com/v1/tracks/45CFyww2OsnABfrBg6FzRY","https://api.spotify.com/v1/audio-analysis/45CFyww2OsnABfrBg6FzRY",181893,4,"The Messenger","Andrew"
"83",0.433,0.929,5,-4.33,0,0.0817,3.89e-05,0.00031,0.769,0.504,160.048,"audio_features","20dil44lFapp6oNBfCQlif","spotify:track:20dil44lFapp6oNBfCQlif","https://api.spotify.com/v1/tracks/20dil44lFapp6oNBfCQlif","https://api.spotify.com/v1/audio-analysis/20dil44lFapp6oNBfCQlif",231588,4,"When Everything Means Nothing","Andrew"
"84",0.737,0.548,4,-7.003,0,0.0498,0.0127,9.76e-06,0.176,0.156,160.058,"audio_features","5DPASDOoVakOcD8EIhb46T","spotify:track:5DPASDOoVakOcD8EIhb46T","https://api.spotify.com/v1/tracks/5DPASDOoVakOcD8EIhb46T","https://api.spotify.com/v1/audio-analysis/5DPASDOoVakOcD8EIhb46T",175759,4,"High Right Now (feat. Wiz Khalifa) - Remix","Andrew"
"85",0.429,0.266,10,-13.422,0,0.0382,0.859,0.829,0.0849,0.0398,109.662,"audio_features","4bbhqfaBcPJ54zL7B6uSne","spotify:track:4bbhqfaBcPJ54zL7B6uSne","https://api.spotify.com/v1/tracks/4bbhqfaBcPJ54zL7B6uSne","https://api.spotify.com/v1/audio-analysis/4bbhqfaBcPJ54zL7B6uSne",393267,4,"The Sound of Silence","Andrew"
"86",0.474,0.857,7,-5.734,1,0.0435,0.113,0,0.134,0.545,170.006,"audio_features","0HZUp8fm9fh1Mitqx4CIOr","spotify:track:0HZUp8fm9fh1Mitqx4CIOr","https://api.spotify.com/v1/tracks/0HZUp8fm9fh1Mitqx4CIOr","https://api.spotify.com/v1/audio-analysis/0HZUp8fm9fh1Mitqx4CIOr",220200,4,"Bottoms Up","Andrew"
"87",0.673,0.64,11,-9.252,0,0.0338,0.781,1.67e-05,0.168,0.89,122.883,"audio_features","3BCSIFo2mLFFhSsg0QwpPw","spotify:track:3BCSIFo2mLFFhSsg0QwpPw","https://api.spotify.com/v1/tracks/3BCSIFo2mLFFhSsg0QwpPw","https://api.spotify.com/v1/audio-analysis/3BCSIFo2mLFFhSsg0QwpPw",227453,4,"A Horse With No Name","Andrew"
"88",0.293,0.817,2,-3.786,1,0.039,0.458,0.0509,0.355,0.138,150.249,"audio_features","2A7GGXmTlXuH9LOvBXgOX4","spotify:track:2A7GGXmTlXuH9LOvBXgOX4","https://api.spotify.com/v1/tracks/2A7GGXmTlXuH9LOvBXgOX4","https://api.spotify.com/v1/audio-analysis/2A7GGXmTlXuH9LOvBXgOX4",451320,4,"Champagne Supernova - Remastered","Andrew"
"89",0.434,0.354,7,-11.952,0,0.0315,0.959,0.885,0.134,0.0761,82.473,"audio_features","09u8e8PSzCaf0PNeV6JG33","spotify:track:09u8e8PSzCaf0PNeV6JG33","https://api.spotify.com/v1/tracks/09u8e8PSzCaf0PNeV6JG33","https://api.spotify.com/v1/audio-analysis/09u8e8PSzCaf0PNeV6JG33",251080,3,"Oceano","Andrew"
"90",0.5,0.485,0,-7.94,1,0.0422,0.633,1.26e-06,0.107,0.379,109.755,"audio_features","1LJDUGFkHr8CC4AsTeAFOK","spotify:track:1LJDUGFkHr8CC4AsTeAFOK","https://api.spotify.com/v1/tracks/1LJDUGFkHr8CC4AsTeAFOK","https://api.spotify.com/v1/audio-analysis/1LJDUGFkHr8CC4AsTeAFOK",207453,4,"From Austin","Andrew"
"91",0.586,0.559,4,-6.725,1,0.05,0.639,0,0.0872,0.437,177.945,"audio_features","69AIpwGNLxr4qS1X5ynx60","spotify:track:69AIpwGNLxr4qS1X5ynx60","https://api.spotify.com/v1/tracks/69AIpwGNLxr4qS1X5ynx60","https://api.spotify.com/v1/audio-analysis/69AIpwGNLxr4qS1X5ynx60",167480,4,"Buy Dirt","Andrew"
"92",0.561,0.352,3,-10.151,1,0.0247,0.608,0,0.23,0.266,99.966,"audio_features","6ENH2r9VtuBrPmAV5R7t1f","spotify:track:6ENH2r9VtuBrPmAV5R7t1f","https://api.spotify.com/v1/tracks/6ENH2r9VtuBrPmAV5R7t1f","https://api.spotify.com/v1/audio-analysis/6ENH2r9VtuBrPmAV5R7t1f",295800,4,"Empty Throne - Acoustic","Andrew"
"93",0.279,0.939,11,-3.085,1,0.0883,0.00379,0,0.145,0.43,111.236,"audio_features","7xuhVUJmBpHR276Yc7AsgW","spotify:track:7xuhVUJmBpHR276Yc7AsgW","https://api.spotify.com/v1/tracks/7xuhVUJmBpHR276Yc7AsgW","https://api.spotify.com/v1/audio-analysis/7xuhVUJmBpHR276Yc7AsgW",286373,4,"Walking Disaster","Andrew"
"94",0.67,0.743,10,-4.993,1,0.0393,0.237,0,0.465,0.571,125.944,"audio_features","6mQLN3zRtAp6ovjusyYKrV","spotify:track:6mQLN3zRtAp6ovjusyYKrV","https://api.spotify.com/v1/tracks/6mQLN3zRtAp6ovjusyYKrV","https://api.spotify.com/v1/audio-analysis/6mQLN3zRtAp6ovjusyYKrV",218293,4,"Rewrite The Stars (with James Arthur & Anne-Marie)","Andrew"
